fiasfknyvf	f-ifi-a-s-f-k-n-y-v-f
hhkuxhxpvnnsctvh	h-h-k-u-x-h-x-p-v-n-n-s-c-t-v-h
xxcga	x-x-c-g-a
ggpclouifyzjrkdu	g-g-p-c-l-o-u-i-f-y-z-j-r-k-d-u
cvgl	c-v-g-l
hhou	h-h-o-u
dahwoxfxhfgdpd	d-ada-h-w-o-x-f-x-h-f-g-d-p-d
ggmnxslj	g-g-m-n-x-s-l-j
yyibpuw	y-y-i-b-p-u-w
ssbjegepjbrawom	s-s-b-j-e-g-e-p-j-b-r-a-w-o-m
nkgdzdovn	n-k-g-d-z-d-o-v-n
ssfihtxen	s-s-f-i-h-t-x-e-n
dimdrud	d-idi-m-d-r-u-d
pprbpmbbo	p-p-r-b-p-m-b-b-o
bbwluskqrzsatvsvr	b-b-w-l-u-s-k-q-r-z-s-a-t-v-s-v-r
llnnpnefuvtvd	l-l-n-n-p-n-e-f-u-v-t-v-d
ccfpoyf	c-c-f-p-o-y-f
zzndcgqqydlpcbnow	z-z-n-d-c-g-q-q-y-d-l-p-c-b-n-o-w
jjgnvowo	j-j-g-n-v-o-w-o
llvnnvdybnstottev	l-l-v-n-n-v-d-y-b-n-s-t-o-t-t-e-v
nnzlxikojemsgcre	n-n-z-l-x-i-k-o-j-e-m-s-g-c-r-e
zzwjscpdfkwg	z-z-w-j-s-c-p-d-f-k-w-g
licdse	l-ili-c-d-s-e
zzslxxdot	z-z-s-l-x-x-d-o-t
bbkzdtejcfkxj	b-b-k-z-d-t-e-j-c-f-k-x-j
woehwvmb	w-owo-e-h-w-v-m-b
vvklhvy	v-v-k-l-h-v-y
qumbxrdlqrg	q-uqu-m-b-x-r-d-l-q-r-g
mmtrkffllebfqea	m-m-t-r-k-f-f-l-l-e-b-f-q-e-a
qqhiyp	q-q-h-i-y-p
nnoblpeexhgcprsp	n-n-o-b-l-p-e-e-x-h-g-c-p-r-s-p
rrzuzuxxxatt	r-r-z-u-z-u-x-x-x-a-t-t
hhglmulbsr	h-h-g-l-m-u-l-b-s-r
yytirow	y-y-t-i-r-o-w
lgzklwrsogpyjuz	l-g-z-k-l-w-r-s-o-g-p-y-j-u-z
kn	k-n
yybyr	y-y-b-y-r
l	l
qqkekhpxlzsc	q-q-k-e-k-h-p-x-l-z-s-c
bbtwldgeeoei	b-b-t-w-l-d-g-e-e-o-e-i
ruse	r-uru-s-e
sakavheiivh	s-asa-k-a-v-h-e-i-i-v-h
yyjw	y-y-j-w
voew	v-ovo-e-w
bwtihygsedkqvvz	b-w-t-i-h-y-g-s-e-d-k-q-v-v-z
ifoibs	i-f-o-i-b-s
kn	k-n
mexdtrcvse	m-eme-x-d-t-r-c-v-s-e
zevstvbfb	z-eze-v-s-t-v-b-f-b
ccboovkzcrutvyfb	c-c-b-o-o-v-k-z-c-r-u-t-v-y-f-b
piawkrhvfejtkbqmv	p-ipi-a-w-k-r-h-v-f-e-j-t-k-b-q-m-v
zsxjfgxyfuww	z-s-x-j-f-g-x-y-f-u-w-w
lityjunfk	l-ili-t-y-j-u-n-f-k
qqjsloykocuhn	q-q-j-s-l-o-y-k-o-c-u-h-n
huiokk	h-uhu-i-o-k-k
xxjpivd	x-x-j-p-i-v-d
qqqego	q-q-q-e-g-o
tam	t-ata-m
nnwsuqa	n-n-w-s-u-q-a
hhilgkgnacsa	h-h-i-l-g-k-g-n-a-c-s-a
xxxnmkhklzhc	x-x-x-n-m-k-h-k-l-z-h-c
hhobxbdbvfajy	h-h-o-b-x-b-d-b-v-f-a-j-y
bbdsvsemmqdgmbrt	b-b-d-s-v-s-e-m-m-q-d-g-m-b-r-t
qizecmhspmpmeiqgk	q-iqi-z-e-c-m-h-s-p-m-p-m-e-i-q-g-k
cctrxtmof	c-c-t-r-x-t-m-o-f
yyanurmpmepzq	y-y-a-n-u-r-m-p-m-e-p-z-q
cctnmikeliuhl	c-c-t-n-m-i-k-e-l-i-u-h-l
mmxyyslyuxsdsmije	m-m-x-y-y-s-l-y-u-x-s-d-s-m-i-j-e
gtctunc	g-t-c-t-u-n-c
mmqtzrklwwngxwduz	m-m-q-t-z-r-k-l-w-w-n-g-x-w-d-u-z
hhhbqbs	h-h-h-b-q-b-s
dde	d-d-e
cdmfnzzmhdz	c-d-m-f-n-z-z-m-h-d-z
xxxquofoevo	x-x-x-q-u-o-f-o-e-v-o
hhbfjtt	h-h-b-f-j-t-t
vvizapixoxnqcpv	v-v-i-z-a-p-i-x-o-x-n-q-c-p-v
vvpoz	v-v-p-o-z
yyshyntvkwppaaehy	y-y-s-h-y-n-t-v-k-w-p-p-a-a-e-h-y
ddetb	d-d-e-t-b
yygrubz	y-y-g-r-u-b-z
dvw	d-v-w
cywaklegp	c-y-w-a-k-l-e-g-p
ggnllym	g-g-n-l-l-y-m
vvkw	v-v-k-w
hujltflke	h-uhu-j-l-t-f-l-k-e
sswptf	s-s-w-p-t-f
hhaeoln	h-h-a-e-o-l-n
ppqmqij	p-p-q-m-q-i-j
ttuvm	t-t-u-v-m
nnrflfsbjcl	n-n-r-f-l-f-s-b-j-c-l
ycnxgqbzkd	y-c-n-x-g-q-b-z-k-d
rr	r-r
xxn	x-x-n
eci	e-c-i
kosybotavnyom	k-oko-s-y-b-o-t-a-v-n-y-o-m
unslsynutvk	u-n-s-l-s-y-n-u-t-v-k
ggrxpdl	g-g-r-x-p-d-l
xxohtqy	x-x-o-h-t-q-y
ddpcczdnzkm	d-d-p-c-c-z-d-n-z-k-m
lllnuqlybqggpbvm	l-l-l-n-u-q-l-y-b-q-g-g-p-b-v-m
ddlydazcnjgxjxikq	d-d-l-y-d-a-z-c-n-j-g-x-j-x-i-k-q
rrfsf	r-r-f-s-f
zoxfnyqlcnbi	z-ozo-x-f-n-y-q-l-c-n-b-i
tjd	t-j-d
mmknmgqlhdmaf	m-m-k-n-m-g-q-l-h-d-m-a-f
bbefydn	b-b-e-f-y-d-n
ggcuynuxjhdhravkt	g-g-c-u-y-n-u-x-j-h-d-h-r-a-v-k-t
helxmhnfwg	h-ehe-l-x-m-h-n-f-w-g
jiwwqnvnoggbbsxnv	j-iji-w-w-q-n-v-n-o-g-g-b-b-s-x-n-v
wcsvdgiorziuzz	w-c-s-v-d-g-i-o-r-z-i-u-z-z
x	x
buynbbhu	b-ubu-y-n-b-b-h-u
qqueuewvbmckuog	q-q-u-e-u-e-w-v-b-m-c-k-u-o-g
zzajho	z-z-a-j-h-o
rrzdmjqobu	r-r-z-d-m-j-q-o-b-u
ruryttga	r-uru-r-y-t-t-g-a
gjkflmhd	g-j-k-f-l-m-h-d
qqkmloovaqesz	q-q-k-m-l-o-o-v-a-q-e-s-z
jjdogcjurpoy	j-j-d-o-g-c-j-u-r-p-o-y
kkrzffocexpwsiog	k-k-r-z-f-f-o-c-e-x-p-w-s-i-o-g
llitdvzwvpbubzey	l-l-i-t-d-v-z-w-v-p-b-u-b-z-e-y
wilrfglde	w-iwi-l-r-f-g-l-d-e
xxdyrcnppqbimcur	x-x-d-y-r-c-n-p-p-q-b-i-m-c-u-r
qlnggcgydh	q-l-n-g-g-c-g-y-d-h
bbzktrx	b-b-z-k-t-r-x
qq	q-q
soadziqznju	s-oso-a-d-z-i-q-z-n-j-u
ppefeqfhv	p-p-e-f-e-q-f-h-v
ddr	d-d-r
bbtzqkfryklrxpb	b-b-t-z-q-k-f-r-y-k-l-r-x-p-b
ahiunmzafkdslry	a-h-i-u-n-m-z-a-f-k-d-s-l-r-y
bbmzove	b-b-m-z-o-v-e
jjtnc	j-j-t-n-c
lro	l-r-o
e	e
ccrbteuthnxdhwdje	c-c-r-b-t-e-u-t-h-n-x-d-h-w-d-j-e
ffjcsstqdb	f-f-j-c-s-s-t-q-d-b
xoobgke	x-oxo-o-b-g-k-e
ccmmmmvtqsgiokdl	c-c-m-m-m-m-v-t-q-s-g-i-o-k-d-l
ppnycrksai	p-p-n-y-c-r-k-s-a-i
vvbiwliotodzwvnof	v-v-b-i-w-l-i-o-t-o-d-z-w-v-n-o-f
jjd	j-j-d
fu	f-ufu
hitbgvfqns	h-ihi-t-b-g-v-f-q-n-s
pplbt	p-p-l-b-t
ffybhlwemf	f-f-y-b-h-l-w-e-m-f
mmcgfvaxtqlwh	m-m-c-g-f-v-a-x-t-q-l-w-h
qqjz	q-q-j-z
kivubdo	k-iki-v-u-b-d-o
bbtgkbbfkjhmoilyc	b-b-t-g-k-b-b-f-k-j-h-m-o-i-l-y-c
egbipmmqgrk	e-g-b-i-p-m-m-q-g-r-k
lltt	l-l-t-t
mmjuabboqzosbq	m-m-j-u-a-b-b-o-q-z-o-s-b-q
zzbcvbvcirz	z-z-b-c-v-b-v-c-i-r-z
fzb	f-z-b
ppektbmob	p-p-e-k-t-b-m-o-b
ik	i-k
rsxwnpjiyxd	r-s-x-w-n-p-j-i-y-x-d
jjozuvdxfggabv	j-j-o-z-u-v-d-x-f-g-g-a-b-v
qsoaiadf	q-s-o-a-i-a-d-f
vvyxnusbz	v-v-y-x-n-u-s-b-z
tgivtrpp	t-g-i-v-t-r-p-p
kkukzrrp	k-k-u-k-z-r-r-p
otczopdpgtmmzrz	o-t-c-z-o-p-d-p-g-t-m-m-z-r-z
hhpmmzwjqcphfbbm	h-h-p-m-m-z-w-j-q-c-p-h-f-b-b-m
vvddukmxxxolehzj	v-v-d-d-u-k-m-x-x-x-o-l-e-h-z-j
ccxthvx	c-c-x-t-h-v-x
jjdmt	j-j-d-m-t
rr	r-r
beiiklugenmw	b-ebe-i-i-k-l-u-g-e-n-m-w
zzvbtrpfdk	z-z-v-b-t-r-p-f-d-k
xigpxwdhiocskguwe	x-ixi-g-p-x-w-d-h-i-o-c-s-k-g-u-w-e
zznjhpvlehwcsygdr	z-z-n-j-h-p-v-l-e-h-w-c-s-y-g-d-r
wusw	w-uwu-s-w
ffa	f-f-a
mmmvbxursh	m-m-m-v-b-x-u-r-s-h
sszhzwdtqezqsgigp	s-s-z-h-z-w-d-t-q-e-z-q-s-g-i-g-p
mmavbzvs	m-m-a-v-b-z-v-s
wwvr	w-w-v-r
yigewyzsmncikku	y-iyi-g-e-w-y-z-s-m-n-c-i-k-k-u
wwmslgzgpscxcslrn	w-w-m-s-l-g-z-g-p-s-c-x-c-s-l-r-n
wwwipd	w-w-w-i-p-d
mmq	m-m-q
qqpp	q-q-p-p
