j-j-q-j-p-f-l-e-t-n-l-y	jjqjpfletnly
r-p-a-g-j-q	rpagjq
o-u-t-j-z-a	outjza
n-ono-g-i-y-c-z-d-p-p	nogiyczdpp
d-d-w-c-y	ddwcy
s-s-e-o-w-e-c-z-y-q-a-w-c-o-v	sseoweczyqawcov
d-d-q-n-r-h-d	ddqnrhd
b-ubu-y-r-h-k	buyrhk
c-c-z-j-h-o-b-e-k-h-p-w-m	cczjhobekhpwm
s-s-w-v-v	sswvv
s-s-s	sss
l-l-m-q-m-c-c-b-g-p	llmqmccbgp
p-ipi-p-j-h	pipjh
g-g-g-f-m-k-v-i-y-v-r-l-f-x-l	gggfmkviyvrlfxl
o-g-i	ogi
y-y-d-o-a-s-w-u-a-b	yydoaswuab
f-f-t-p-c-h-e	fftpche
m-m-l-t-w-p-d-a-s-i-p-n-r-f	mmltwpdasipnrf
j-q-p	jqp
f-f-r-a-t-x-d	ffratxd
j-j-x-l-l-c-j-i-k-j-u-e-c-q-o	jjxllcjikjuecqo
i-r-h-w-g-l-u-y-h-m	irhwgluyhm
d-d-m	ddm
w-w-m-o-d-e-w-p-u-e-v	wwmodewpuev
h-h-j-m-a-u	hhjmau
z-izi-e-j-x-m-n-m-f	ziejxmnmf
t-t-e-t-p	ttetp
t-ata-y-s-x-s-n-q-v-b-o-u-y	taysxsnqvbouy
n-n-g-t-d-n-x-x-y-c-h-p	nngtdnxxychp
j-j-n-b-r-t-s-n-i	jjnbrtsni
x-x	xx
z-z-u-l	zzul
c-c-x	ccx
w-n-k-d-y-z-z	wnkdyzz
z-ozo-i-d-h-a-x-j-j-j-u-f-e	zoidhaxjjjufe
r-r-v-e-w-g-g	rrvewgg
m-z-d-r-s-w-s-t-g-x-q-e-p-f	mzdrswstgxqepf
t-n-g-p-y-a-b-o-q-s-v-p-v-d	tngpyaboqsvpvd
q-y-e-r-z-o-a-v-s-d-s-t-t-n-j	qyerzoavsdsttnj
f	f
v-b-d-i-f	vbdif
y-y-l-p-y-g-m	yylpygm
p-p-d-w-o-z-k-c-h-b-t-r-d-x-e-y-x	ppdwozkchbtrdxeyx
v-v-s-i-m-f-o-l	vvsimfol
j-j-g-b-r-u-c-w-w-w-c-g-s	jjgbrucwwwcgs
a-h-w-o-c-f	ahwocf
j-j-b-h-a-q-k-m-j-s-u-j-c-j-x-l	jjbhaqkmjsujcjxl
t-t-x-d-n-i-b	ttxdnib
w-w-f-w-f-f-x-t-o-m-x-n-v-z-g-c	wwfwffxtomxnvzgc
h-h-n-l	hhnl
p-p-m-c-j-a-d-y-i-g-e-y-l-m-y-d-j	ppmcjadyigeylmydj
b-b-a	bba
m-m-w-s-q-z-d-p	mmwsqzdp
w-w-f-s-e-p-s-t-w-g-i-g-v-l	wwfsepstwgigvl
c-c-v	ccv
t-t-r-f-n-o	ttrfno
u	u
v-v-b-e-f-y-s-s-t-r-o-d	vvbefysstrod
l-s-w-f-v-z	lswfvz
o-f-r-u-r-g-l-y-z-v-n-g	ofrurglyzvng
d-d-n-w-u-n-v-q-s-t-h-d	ddnwunvqsthd
q-x-e-q-l-h-x-r	qxeqlhxr
f-f-j-o-d-g-l-v-p-z-m-u-g-j-v-t	ffjodglvpzmugjvt
d-d-s-h-f-k-z-p-x-r-c-u-b	ddshfkzpxrcub
z-z-g-m-s	zzgms
m-eme-f-u-m-i-q-w-y-a-u-o-k-e-t-e	mefumiqwyauokete
n-n	nn
z-z-z-o-d-o-q-o-k-o	zzzodoqoko
r-r-n-f	rrnf
u-l-q-f-l-n-d-k-d	ulqflndkd
v-s-v-m-g-l-i-h-c-c-a-z-l-i	vsvmglihccazli
d-idi-a-h-z-u-s-f-l	diahzusfl
r-r-h-m-e-m-g-t-a-q-s-n-o-t-o-r-r	rrhmemgtaqsnotorr
r-uru-s-i-l-q-p-j	rusilqpj
f-s-o-s-j-x-r-u-u-o-l-j-n	fsosjxruuoljn
z-z-j-b	zzjb
k-k-f-z-m-l-f-t-t-h-w-f-b-e	kkfzmlftthwfbe
k-oko-c-c-r-b-i-o-p-p	koccrbiopp
r-w-w-z-q-x-s-u-q-e-s	rwwzqxsuqes
v-v-e-w-r-y-s-r-w-d-p-c-a	vvewrysrwdpca
n-n-h-i-u-y-d	nnhiuyd
q-q-h-c-y-e-b	qqhcyeb
c-c-r-x-r-c-a-k-j-b-t-y-k-l	ccrxrcakjbtykl
w-w-l-y-r-w-o-f-t-k-v-k	wwlyrwoftkvk
g-g-r-k-t-z	ggrktz
a-e-d	aed
t-t-s-h-l-x-n-g-v-w-h	ttshlxngvwh
f-f-k-g-h-u-h	ffkghuh
h-h-e-l-n-s-l-o-y-l-h-p-y-q-m-v	hhelnsloylhpyqmv
t-t-i-t-h-z-a-z-r-z-s-h-y	ttithzazrzshy
x-x	xx
t-s-y-k-m-p-t	tsykmpt
n-n-i-b-s-f	nnibsf
g-g-o-d-w-h-n-i-n-g-k-g-b-d	ggodwhningkgbd
k-k-m-o-x	kkmox
f-f-k-a-d-h-h-u-i-i-n-l-r-e-o-u	ffkadhhuiinlreou
t-ete-o-b-o-x-l-f-o-b-l-l-z-g	teoboxlfobllzg
c-s-u-k-b	csukb
j-iji-y-x-s-w-b-o-j-y-n-c	jiyxswbojync
k-k-i-y-c-e-s-n-o-f-g-v	kkiycesnofgv
j-j-v-o-k-u-d-r-i-k-l-v-g-v-n-r-g	jjvokudriklvgvnrg
k-f-i-o-u-c-o-n	kfioucon
s-oso-q-v-o	soqvo
d-ada-s-t-n-j-w	dastnjw
z-uzu-i-g-a	zuiga
x-x-d-i-y-u-x-f-n-x-p-q-r	xxdiyuxfnxpqr
t-t-v-i-j-e-z-n-j-f	ttvijeznjf
j-aja-o-m-h-r-y	jaomhry
k-x-t-m-p-i-f	kxtmpif
f-f-v-y-w-t	ffvywt
q-q-l-t-t-g-i-d-o-z-k-w	qqlttgidozkw
t-b-q-u-p-t-l-t-f-w	tbquptltfw
z-izi-f-a-h-s-s-w-c	zifahsswc
y-n-f-b-o-z-e-x-h-n-w-w-l-c-c	ynfbozexhnwwlcc
f-k-a-s-x	fkasx
n-n-t-x-g-i-t-u-n	nntxgitun
q-aqa-r-y	qary
w-w-u-w-e-a-p-j-h	wwuweapjh
r-r-l-s-m-v-b-z-w-z-z-e-d	rrlsmvbzwzzed
y-y-a-i-q-r-z-s-z-z-p-c	yyaiqrzszzpc
f-f-e-k-c-z-w-c-u-a-u-u-m-r	ffekczwcuauumr
p-p-k-e	ppke
n-n-f-t-c-z-l-k-r	nnftczlkr
m-m-z-d-i	mmzdi
m-m-v-r-i-g-e-p-e-c-n-i-h-x	mmvrigepecnihx
z-z-j-o-i-x-h-d-u-p-w-l-t-k	zzjoixhdupwltk
y-y-x-g-a-y-e-m-k-t-l-b-y-g-x-h-i	yyxgayemktlbygxhi
j-j	jj
v-v-a-w-k-g-d	vvawkgd
b-ubu	bu
s-s-f-x-p-f-b-n-y-w-t-g-t-q-c-y-z	ssfxpfbnywtgtqcyz
d-d	dd
u-o-r-e-m-z-d-a-m-k-m-y	uoremzdamkmy
v-v-p-s-x-o-b-j-b-q-q-y	vvpsxobjbqqy
y-y-i	yyi
z-z-k-l-c-n-v-j-n	zzklcnvjn
z-z-h-s-b	zzhsb
t-ete-y-m-k-l-v-e-g-n-q	teymklvegnq
g-igi-d-o-p-c-m-n-h-p	gidopcmnhp
d-udu-u	duu
i-s-b-e-d-n-x-y	isbednxy
s-s-o-x	ssox
v-l-s-c-y-o-t-p-y-m-c-k	vlscyotpymck
v-v-w-k-o	vvwko
r-r-o-c-d	rrocd
x-x-d-d-b-o-p-u-j-b-s-y	xxddbopujbsy
h-h-j-q-l-g-v-j-t	hhjqlgvjt
l-l-e-u-d-v	lleudv
r-r-z-b-z-s-s	rrzbzss
z-z-d-a-v-f-d-l-b-x-v-v-k-c	zzdavfdlbxvvkc
q-s-q-n-s-d-y-u-g	qsqnsdyug
c-ici-p-r-o-e-q-s-s	ciproeqss
l-ulu-j-l-o-p-j-y	lujlopjy
c-c-n-p-z-u-s-d-y-w-m	ccnpzusdywm
a-o-k-h-b-g-d-r-z-w-l-k-e-f-c	aokhbgdrzwlkefc
y-y-l	yyl
r-r-t	rrt
v-v-a-b	vvab
x-f-k-v-p-l	xfkvpl
d-d-h-q	ddhq
t-t-v-d-w-s-p-d-l-i-o	ttvdwspdlio
i-s-z-g-l-z-t-q-e-e-o-w	iszglztqeeow
k-k-w-k-t-l-w-b-b-s-h-e-c-l-r-v-t	kkwktlwbbsheclrvt
h-h-p-c-c-q-o-b-f-b-f-x	hhpccqobfbfx
y-h-q-q-y-d-u-n-v-k-k-x-g	yhqqydunvkkxg
u-t-j-a-b	utjab
n-n-i-r-k	nnirk
d-d-h-p-k-k-g-x-e-l	ddhpkkgxel
w-w-a-d-c-d-d	wwadcdd
v-ivi-s-m-i-g	vismig
w-w-z-a-y-n-z-t-p-a-z-o-k-a-j	wwzaynztpazokaj
z-z-c-o-f-v-i-f	zzcofvif
e-s-p-z-b-n-m	espzbnm
s-s-p-n-h-m-l-d-o-h-j-q-y-f-g-y	sspnhmldohjqyfgy
b-b-r-n-v-c-b-t-t-a-z	bbrnvcbttaz
k-k-r-f-d-u-z-u-c-h-k-e-g-o	kkrfduzuchkego
r-r-v-w-x-y-s-z-g-g-b-n-w-m-z-q-h	rrvwxyszggbnwmzqh
m-m-s-p-x-o-f-z-v-k-h-b	mmspxofzvkhb
q-q-q-z-v-i	qqqzvi
z-z-o-f-x-x-n-o-x-k-j-e-f-k-u	zzofxxnoxkjefku
z-eze-f-d-o-p-f	zefdopf
c-t-z-q-k-x-u-i-s-q-i-z	ctzqkxuisqiz
g-g-n-e-c-v	ggnecv
